id	name	type	description	rarity	price	hp_bonus	str_bonus	def_bonus	agi_bonus	mag_bonus	luk_bonus	required_level	is_shop_item	is_active	sort_order	created_at	updated_at	spr_bonus	sub_type	element	sell_price	mp_bonus	unlock_city_id	weapon_category	weapon_hand_type	weapon_role	armor_category	armor_weight	armor_role	external_item_id	weapon_family_id	weapon_family_name	weapon_rank	weapon_rank_sort	weapon_rank_multiplier	evolution_stage	next_item_external_id	is_evolution_enabled	is_drop_enabled	is_supply_enabled	max_enhance	armor_family_id	armor_family_name	armor_category_id	armor_category_name	armor_rank	armor_rank_sort	armor_rank_multiplier	evolution_group_id	next_armor_external_id	accessory_family_id	accessory_family_name	accessory_category_id	accessory_category_name	accessory_rank	accessory_rank_sort	accessory_rank_multiplier	next_accessory_external_id
130	炉跡ゴーレムの岩鎧	armor	ドロップ品: 炉跡ゴーレムの岩鎧。溶鉱炉跡の重装型。鉄鋼都市中盤の重鎧枠。	rare	18000	127	0	73	0	0	0	68	0	0	1470	2026-06-06T16:19:24.000000Z	2026-06-12T14:14:21.000000Z	0	重装	無	4500	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
135	量産ゴーレムの岩鎧	armor	ドロップ品: 量産ゴーレムの岩鎧	rare	297	148	0	53	0	0	0	1	0	0	1480	2026-06-06T16:19:24.000000Z	2026-06-12T14:14:21.000000Z	0	重装		74	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
162	氷キノコの鎧	armor	ドロップ品: 氷キノコの鎧。白銀の森の耐久型。氷属性と精神耐性を持たせた中盤後半防具。	rare	26000	158	0	85	0	0	0	91	0	0	1490	2026-06-06T16:19:25.000000Z	2026-06-12T14:14:21.000000Z	28	重装	氷	6500	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
167	フロストリザードの鱗鎧	armor	ドロップ品: フロストリザードの鱗鎧。氷竜の巣の標準型。重鎧より軽く、DEF/SPR/AGIを分散。	rare	28000	143	0	88	6	0	0	97	0	0	1500	2026-06-06T16:19:25.000000Z	2026-06-12T14:14:21.000000Z	22	革鎧	氷	7000	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
170	雪山ゴーレムの岩鎧	armor	ドロップ品: 雪山ゴーレムの岩鎧。極寒山脈の重装型。雪都終盤の物理防御特化。	rare	30000	173	0	101	0	0	0	98	0	0	1510	2026-06-06T16:19:25.000000Z	2026-06-12T14:14:21.000000Z	0	重装	氷	7500	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
171	ブリザードイーグルの鱗鎧	armor	ドロップ品: ブリザードイーグルの鱗鎧。極寒山脈の標準型。速度と精神を補う軽めの鱗鎧。	rare	29000	128	0	81	13	0	6	98	0	0	1520	2026-06-06T16:19:25.000000Z	2026-06-12T14:14:21.000000Z	30	革鎧	氷	7250	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
172	氷巨人の鎧	armor	ドロップ品: 氷巨人の鎧。極寒山脈のやや強い敵。雪山ゴーレムより総合寄り。	rare	31000	161	0	95	0	0	0	99	0	0	1530	2026-06-06T16:19:25.000000Z	2026-06-12T14:14:21.000000Z	22	重装	氷	7750	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
258	星の守護者の鎧	armor	ドロップ品: 星の守護者の鎧	rare	297	398	0	141	0	0	0	1	0	0	1540	2026-06-06T16:23:57.000000Z	2026-06-12T14:14:21.000000Z	0	重装		74	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
272	鉄格子ゴーレムの岩鎧	armor	ドロップ品: 鉄格子ゴーレムの岩鎧。深淵の牢獄の重装型。魔王城中盤の物理防御特化。	rare	84000	315	0	182	0	0	0	190	0	0	1550	2026-06-06T16:23:57.000000Z	2026-06-12T14:14:21.000000Z	0	重装	地	21000	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
273	深淵ワームの鎧	armor	ドロップ品: 深淵ワームの鎧。深淵の牢獄の耐久型。HP最大級、DEFは鉄格子より下げる。	rare	86000	339	0	173	0	0	0	191	0	0	1560	2026-06-06T16:23:57.000000Z	2026-06-12T14:14:21.000000Z	40	重装	無	21500	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
282	中枢守護機の鎧	armor	ドロップ品: 中枢守護機の鎧。魔王城中枢の標準型。物理と魔法の両面を受ける最終盤レア。	rare	90000	297	0	180	0	0	0	196	0	0	1570	2026-06-06T16:23:57.000000Z	2026-06-12T14:14:21.000000Z	56	重装	無	22500	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
447	騎士の鎧	armor	HP・DEF重視。戦士、聖騎士、竜騎士、暗黒騎士向け。	D	0	98	0	34	-5	0	0	1	0	1	404	2026-06-08T04:23:14.000000Z	2026-06-12T14:14:28.000000Z	12	重装		0	0					heavy_armor	heavy	physical	3015				0	1	4	3016	1	1	0	3	heavy_armor	重装	heavy_material	重装材	D	4	2.4604	heavy_armor	3016						0	1	
457	星詠みの法衣	armor	MP・精神・魔力を伸ばす、魔法職向けの防具。	B	71200	144	0	110	0	0	0	230	0	0	40	2026-06-08T04:23:14.000000Z	2026-06-12T14:14:21.000000Z	51	法衣	光	17800	0	9				robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
459	ルーンアーマー	armor	HPと物理防御を大きく伸ばす、前衛向けの重装防具。	D	54200	201	0	137	0	0	0	180	0	0	50	2026-06-08T04:23:14.000000Z	2026-06-12T14:14:21.000000Z	24	重装	魔	13550	0	7					heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
460	ルーンローブ	armor	MP・精神・魔力を伸ばす、魔法職向けの防具。	D	49700	104	0	79	0	0	0	180	0	0	60	2026-06-08T04:23:14.000000Z	2026-06-12T14:14:21.000000Z	37	法衣	魔	12425	0	7				robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
464	終焉の装束	armor	防御と精神を確保しつつ、素早さと運も伸ばす軽量防具。	A	75100	109	0	109	44	0	20	260	0	0	70	2026-06-08T04:23:14.000000Z	2026-06-12T14:14:21.000000Z	0	軽装	闇	18775	0	10					light	physical					0	1	0		0	0	0	0						0	1								0	1	
466	終焉の法衣	armor	MP・精神・魔力を伸ばす、魔法職向けの防具。	A	82600	168	0	129	0	0	0	260	0	0	80	2026-06-08T04:23:14.000000Z	2026-06-12T14:14:21.000000Z	59	法衣	闇	20650	0	10				robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
482	ルーンマント	armor	防御と精神を確保しつつ、素早さと運も伸ばす軽量防具。	D	45200	67	0	67	27	0	12	180	0	0	90	2026-06-08T04:23:14.000000Z	2026-06-12T14:14:21.000000Z	0	軽装	魔	11300	0	7				cloak	light	physical					0	1	0		0	0	0	0						0	1								0	1	
510	草原旅人の服	armor	はじまりの草原の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	E	800	19	0	10	10	0	0	2	0	0	710	2026-06-08T15:45:48.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		200	0					clothes	light	physical					0	1	0		0	0	0	0						0	1								0	1	
513	小鬼避けの服	armor	小鬼の森の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	E	1400	22	0	10	11	0	0	2	0	0	720	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		350	0					clothes	light	physical					0	1	0		0	0	0	0						0	1								0	1	
516	岩窟の鎧	armor	古びた洞窟の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	E	2700	79	0	10	0	0	0	1	0	0	730	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		675	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
519	狼皮の鎧	armor	狼の丘の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	E	3800	91	0	10	0	0	0	1	0	0	740	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		950	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
522	墓守の鎧	armor	忘れられた墓地の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	E	4900	103	0	10	0	0	0	1	0	0	750	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		1225	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
525	泉守りの鎧	armor	妖精の泉の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	E	6200	117	0	10	0	0	0	1	0	0	760	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		1550	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
528	見習いの胸当て	armor	見習い訓練場の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	E	6000	65	0	10	33	0	0	1	0	0	770	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		1500	0						light	physical					0	1	0		0	0	0	0						0	1								0	1	
531	潮風の胸当て	armor	潮風の海岸の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	D	6900	72	0	18	37	0	0	1	0	0	780	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		1725	0						light	physical					0	1	0		0	0	0	0						0	1								0	1	
534	海蝕殻の鎧	armor	海蝕洞窟の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	D	9900	161	0	18	0	0	0	1	0	0	790	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		2475	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
537	船骸の軽鎧	armor	難破船の残骸の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	D	11300	178	0	18	0	0	0	1	0	0	800	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		2825	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
540	人魚鱗の服	armor	人魚の入り江の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	D	10800	66	0	18	33	0	0	7	0	0	810	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		2700	0					clothes	light	physical					0	1	0		0	0	0	0						0	1								0	1	
543	海賊革の鎧	armor	海賊の隠れ家の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	D	14600	216	0	18	0	0	0	1	0	0	820	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		3650	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
546	珊瑚殻の鎧	armor	珊瑚迷宮の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	D	16200	236	0	18	0	0	0	1	0	0	830	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		4050	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
549	深海祭司の法衣	armor	深海神殿の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	D	16300	0	0	18	0	35	0	1	0	0	840	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	18	法衣		4075	85					robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
552	若葉の旅装	armor	若葉の森の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	C	14400	46	0	28	19	0	19	10	0	0	850	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	28	旅装		3600	0					clothes	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
555	妖精織りの服	armor	妖精の森の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	C	17400	96	0	28	49	0	0	11	0	0	860	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		4350	0					clothes	light	physical					0	1	0		0	0	0	0						0	1								0	1	
558	根守りの鎧	armor	世界樹の根の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	C	22500	308	0	28	0	0	0	1	0	0	870	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		5625	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
561	樹皮のローブ	armor	世界樹中層の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	C	22500	0	0	28	0	44	0	1	0	0	880	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	28	法衣		5625	111					robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
564	天葉の軽鎧	armor	世界樹上層の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	C	26500	355	0	28	0	0	0	1	0	0	890	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		6625	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
567	精霊祭服	armor	精霊神殿の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	C	23800	127	0	28	64	0	0	13	0	0	900	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		5950	0					clothes	light	physical					0	1	0		0	0	0	0						0	1								0	1	
570	月光庭園の羽衣	armor	月光庭園の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	C	25100	132	0	28	68	0	0	14	0	0	910	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		6275	0					clothes	light	physical					0	1	0		0	0	0	0						0	1								0	1	
573	鉱夫の重鎧	armor	鉄鉱山の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	B	31800	415	0	42	0	0	0	1	0	0	920	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		7950	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
576	廃坑の防塵鎧	armor	廃坑の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	B	33800	439	0	42	0	0	0	1	0	0	930	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		8450	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
579	炉熱の鎧	armor	溶鉱炉跡の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	B	35800	464	0	42	0	0	0	1	0	0	940	2026-06-08T15:45:49.000000Z	2026-06-12T14:14:21.000000Z	0	重装		8950	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
582	蒸気工の作業鎧	armor	蒸気工場の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	B	37800	486	0	42	0	0	0	1	0	0	950	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	重装		9450	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
585	機兵装甲	armor	機械兵工場の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	B	33400	257	0	42	129	0	0	1	0	0	960	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		8350	0						light	physical					0	1	0		0	0	0	0						0	1								0	1	
588	発電所の耐雷鎧	armor	地底発電所の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	B	42100	520	0	42	0	0	0	1	0	0	970	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	重装		10525	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
591	古代装甲	armor	古代兵器庫の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	B	36800	281	0	42	141	0	0	1	0	0	980	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		9200	0						light	physical					0	1	0		0	0	0	0						0	1								0	1	
594	氷雪の毛皮鎧	armor	氷雪平原の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	A	45700	520	0	59	0	0	0	1	0	0	990	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	重装		11425	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
597	吹雪避けの外套	armor	吹雪の峡谷の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	A	32000	0	0	59	0	0	102	22	0	0	1000	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	59	外套		8000	0					cloak	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
600	氷晶の鎧	armor	氷結洞窟の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	A	50400	520	0	59	0	0	0	1	0	0	1010	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	重装		12600	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
603	白銀毛皮の服	armor	白銀の森の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	A	43600	219	0	59	111	0	0	24	0	0	1020	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		10900	0					clothes	light	physical					0	1	0		0	0	0	0						0	1								0	1	
606	凍神官の法衣	armor	凍てつく神殿の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	A	50100	0	0	59	0	92	0	1	0	0	1030	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	59	法衣		12525	228					robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
609	氷竜鱗の鎧	armor	氷竜の巣の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	A	57000	520	0	59	0	0	0	1	0	0	1040	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	重装		14250	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
612	極寒の重鎧	armor	極寒山脈の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	A	59700	520	0	59	0	0	0	1	0	0	1050	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	重装		14925	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
615	砂渡りの外套	armor	砂海の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	34700	0	0	78	0	0	46	1	0	0	1060	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	77	外套		8675	0					cloak	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
618	流砂避けの軽鎧	armor	流砂地帯の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	52100	238	0	78	0	0	0	1	0	0	1070	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	重装		13025	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
621	遺跡守りの鎧	armor	古代遺跡の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	52100	238	0	78	0	0	0	1	0	0	1080	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	重装		13025	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
624	王家の墓守鎧	armor	王家の墓の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	52100	238	0	78	0	0	0	1	0	0	1090	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	重装		13025	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
627	砂嵐祭司の法衣	armor	砂嵐の神殿の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	47700	0	0	78	0	64	0	1	0	0	1100	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	77	法衣		11925	291					robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
630	水路番の胸当て	armor	地下水路の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	43400	101	0	78	51	0	0	1	0	0	1110	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		10850	0						light	physical					0	1	0		0	0	0	0						0	1								0	1	
633	太陽神官の装束	armor	太陽神殿の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	39100	51	0	78	20	0	20	1	0	0	1120	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	77	旅装		9775	0					clothes	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
636	書庫番のローブ	armor	魔導図書館の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	59600	0	0	100	0	77	0	1	0	0	1130	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	99	法衣		14900	315					robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
639	禁書守りの法衣	armor	禁書庫の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	59600	0	0	100	0	77	0	1	0	0	1140	2026-06-08T15:45:50.000000Z	2026-06-12T14:14:21.000000Z	99	法衣		14900	327					robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
642	研究員の外套	armor	魔法研究所の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	S	43400	0	0	100	0	0	56	1	0	0	1150	2026-06-08T15:45:51.000000Z	2026-06-12T14:14:21.000000Z	99	外套		10850	0					cloak	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
645	空庭の羽衣	armor	浮遊庭園の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	SS	54200	120	0	100	62	0	0	1	0	0	1160	2026-06-08T15:45:51.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		13550	0					clothes	light	physical					0	1	0		0	0	0	0						0	1								0	1	
648	星読みのローブ	armor	星見の塔の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	SS	59600	0	0	100	0	77	0	1	0	0	1170	2026-06-08T15:45:51.000000Z	2026-06-12T14:14:21.000000Z	99	法衣		14900	357					robe	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
651	観測者の外套	armor	異界観測所の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	SS	43400	0	0	100	0	0	56	1	0	0	1180	2026-06-08T15:45:51.000000Z	2026-06-12T14:14:21.000000Z	99	外套		10850	0					cloak	normal	physical					0	1	0		0	0	0	0						0	1								0	1	
654	次元織りの鎧	armor	次元回廊の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	SS	65000	289	0	100	0	0	0	1	0	0	1190	2026-06-08T15:45:51.000000Z	2026-06-12T14:14:21.000000Z	0	重装		16250	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
657	荒野亡者の鎧	armor	死者の荒野の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	SS	78700	339	0	124	0	0	0	1	0	0	1200	2026-06-08T15:45:51.000000Z	2026-06-12T14:14:21.000000Z	0	重装		19675	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
660	呪城の甲冑	armor	呪われた城の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	SS	65600	142	0	124	72	0	0	1	0	0	1210	2026-06-08T15:45:51.000000Z	2026-06-12T14:14:21.000000Z	0	軽装		16400	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
663	冥門守の鎧	armor	冥界門の素材を用いて仕立てた合成防具。探索で集めた素材を防御力へ変える装備。	SS	78700	339	0	124	0	0	0	1	0	0	1220	2026-06-08T15:45:51.000000Z	2026-06-12T14:14:21.000000Z	0	重装		19675	0					heavy_armor	heavy	physical					0	1	0		0	0	0	0						0	1								0	1	
