final_drop_id	enemy_id	enemy_source	source_id	元drop_id	敵の名前	is_boss	街ID	街名	dungeon_id	ダンジョン名	敵の役割	Lv	敵の型	属性	ドロップ区分	レアドロップ品	レアドロップ種別	排他カテゴリ	ドロップタイミング	ドロップ率(%)	初回確定入手	追加初回報酬	追加初回報酬種別	効果案＿改善後カイゼンゴ	結合元	排他チェック	1体1レア割当チェック	メモ	素材ID	素材カテゴリ	素材レア度	NPC売却価格	市場取引可	主用途	B案ロール	レシピ必要数方針
19	10	モンスターマスタ	9	MAT0010	小鬼シャーマン	0	1	王都アークレア	2	小鬼の森	レア敵	5	魔法型	自然	素材ドロップ	小鬼シャーマンの牙	素材	素材系	通常撃破時	8	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0010	レア素材	R	35	YES	魔法武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
20	11	モンスターマスタ	10	10	ゴブリン隊長	0	1	王都アークレア	2	小鬼の森	最深部候補	6	物理型	自然	レアドロップ	ゴブリン隊長の印	印	印系	通常撃破時	0.6	NO			HP+25、STR+5	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
21	11	モンスターマスタ	10	MAT0011	ゴブリン隊長	0	1	王都アークレア	2	小鬼の森	最深部候補	6	物理型	自然	素材ドロップ	ゴブリン隊長の牙	素材	素材系	通常撃破時	12	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0011	準レア素材	R	45	YES	武器	希少量産素材	3〜10個程度。高級武器の中核素材
22	12	ボスマスタ	352	MAT0012	小鬼の森の親分	1	1	王都アークレア	2	小鬼の森	ボス	6	物理型	自然	素材初回報酬	小鬼の森の親分の刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0012	討伐証素材	R	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
23	13	モンスターマスタ	11	11	洞窟コウモリ	0	1	王都アークレア	3	古びた洞窟	雑魚	6	高速型	無	レアドロップ	洞窟コウモリの羽飾り	装飾品	武器系	通常撃破時	2	NO			SPD+51、LUK+21	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
24	13	モンスターマスタ	11	MAT0013	洞窟コウモリ	0	1	王都アークレア	3	古びた洞窟	雑魚	6	高速型	無	素材ドロップ	洞窟コウモリの翼膜	素材	素材系	通常撃破時	35	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0013	通常素材	N	20	YES	軽武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
25	14	モンスターマスタ	12	12	ロックワーム	0	1	王都アークレア	3	古びた洞窟	雑魚	7	耐久型	無	レアドロップ	古洞ロックワームの岩鎧	防具	武器系	通常撃破時	2	NO			HP+24、DEF+16	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	地域別防具に分割済み。旧名: ロックワームの岩鎧 / 基準: 王都アークレア・古びた洞窟 Lv7								
26	14	モンスターマスタ	12	MAT0014	ロックワーム	0	1	王都アークレア	3	古びた洞窟	雑魚	7	耐久型	無	素材ドロップ	ロックワームの外殻	素材	素材系	通常撃破時	35	NO			防具用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0014	通常素材	N	25	YES	防具	通常量産素材	10〜40個程度。基本武器の主素材
27	15	モンスターマスタ	13	13	スケルトン見習い	0	1	王都アークレア	3	古びた洞窟	やや強い	8	アンデッド型	無	レアドロップ	スケルトン見習いの骨剣	武器	武器系	通常撃破時	1.5	NO			STR+18	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
28	15	モンスターマスタ	13	MAT0015	スケルトン見習い	0	1	王都アークレア	3	古びた洞窟	やや強い	8	アンデッド型	無	素材ドロップ	スケルトン見習いの古骨	素材	素材系	通常撃破時	28	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0015	通常素材	N+	35	YES	汎用武器	中級量産素材	5〜20個程度。中級武器の補助素材
29	16	モンスターマスタ	14	14	石かじりネズミ	0	1	王都アークレア	3	古びた洞窟	レア敵	8	高速型	無	レアドロップ	石かじりネズミの印	印	印系	通常撃破時	0.8	NO			SPD+5、LUK+2	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
30	16	モンスターマスタ	14	MAT0016	石かじりネズミ	0	1	王都アークレア	3	古びた洞窟	レア敵	8	高速型	無	素材ドロップ	石かじりネズミの鉱片	素材	素材系	通常撃破時	8	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0016	レア素材	R	60	YES	軽武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
31	17	モンスターマスタ	15	15	洞窟トロル	0	1	王都アークレア	3	古びた洞窟	最深部候補	9	物理型	無	レアドロップ	洞窟トロルの印	印	印系	通常撃破時	0.6	NO			HP+30、STR+6	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
32	17	モンスターマスタ	15	MAT0017	洞窟トロル	0	1	王都アークレア	3	古びた洞窟	最深部候補	9	物理型	無	素材ドロップ	洞窟トロルの欠片	素材	素材系	通常撃破時	12	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0017	準レア素材	R	70	YES	武器	希少量産素材	3〜10個程度。高級武器の中核素材
33	18	ボスマスタ	353	MAT0018	洞窟の番人スカルナイト	1	1	王都アークレア	3	古びた洞窟	ボス	9	耐久型	地	素材初回報酬	洞窟の番人スカルナイトの刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0018	討伐証素材	R	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
34	19	モンスターマスタ	16	16	丘ウルフ	0	1	王都アークレア	4	狼の丘	雑魚	9	高速型	無	レアドロップ	丘ウルフの印	印	印系	通常撃破時	1.2	NO			SPD+5、LUK+2	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
35	19	モンスターマスタ	16	MAT0019	丘ウルフ	0	1	王都アークレア	4	狼の丘	雑魚	9	高速型	無	素材ドロップ	丘ウルフの毛皮	素材	素材系	通常撃破時	35	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0019	通常素材	N	30	YES	軽武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
36	20	モンスターマスタ	17	17	銀毛ウルフ	0	1	王都アークレア	4	狼の丘	雑魚	10	高速型	無	レアドロップ	銀毛ウルフの印	印	印系	通常撃破時	1.2	NO			SPD+5、LUK+2	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
37	20	モンスターマスタ	17	MAT0020	銀毛ウルフ	0	1	王都アークレア	4	狼の丘	雑魚	10	高速型	無	素材ドロップ	銀毛ウルフの毛皮	素材	素材系	通常撃破時	35	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0020	通常素材	N	35	YES	軽武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
38	21	モンスターマスタ	18	18	ハーピー	0	1	王都アークレア	4	狼の丘	やや強い	11	高速型	無	レアドロップ	ハーピーの羽飾り	装飾品	武器系	通常撃破時	1.5	NO			SPD+6、LUK+2	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
39	21	モンスターマスタ	18	MAT0021	ハーピー	0	1	王都アークレア	4	狼の丘	やや強い	11	高速型	無	素材ドロップ	ハーピーの欠片	素材	素材系	通常撃破時	28	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0021	通常素材	N+	50	YES	軽武器・装飾品	中級量産素材	5〜20個程度。中級武器の補助素材
40	22	モンスターマスタ	19	19	ならず者斥候	0	1	王都アークレア	4	狼の丘	レア敵	11	高速型	無	レアドロップ	ならず者斥候の印	印	印系	通常撃破時	0.8	NO			SPD+6、LUK+3	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
41	22	モンスターマスタ	19	MAT0022	ならず者斥候	0	1	王都アークレア	4	狼の丘	レア敵	11	高速型	無	素材ドロップ	ならず者斥候の欠片	素材	素材系	通常撃破時	8	NO			軽武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0022	レア素材	R	80	YES	軽武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
42	23	モンスターマスタ	20	20	群れの長	0	1	王都アークレア	4	狼の丘	最深部候補	12	標準型	無	レアドロップ	群れの長の印	印	印系	通常撃破時	0.6	NO			HP+36、STR+3、DEF+3	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
43	23	モンスターマスタ	20	MAT0023	群れの長	0	1	王都アークレア	4	狼の丘	最深部候補	12	標準型	無	素材ドロップ	群れの長の欠片	素材	素材系	通常撃破時	12	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0023	準レア素材	R	100	YES	汎用武器	希少量産素材	3〜10個程度。高級武器の中核素材
44	24	ボスマスタ	354	MAT0024	銀狼ガルム	1	1	王都アークレア	4	狼の丘	ボス	12	素早さ型	無	素材初回報酬	銀狼ガルムの刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0024	討伐証素材	R	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
45	25	モンスターマスタ	21	21	ゾンビ	0	1	王都アークレア	5	忘れられた墓地	雑魚	12	アンデッド型	闇	レアドロップ	ゾンビの印	印	印系	通常撃破時	1.2	NO			STR+5、SPR+2	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
46	25	モンスターマスタ	21	MAT0025	ゾンビ	0	1	王都アークレア	5	忘れられた墓地	雑魚	12	アンデッド型	闇	素材ドロップ	ゾンビの腐布	素材	素材系	通常撃破時	35	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0025	通常素材	N	40	YES	魔法武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
47	26	モンスターマスタ	22	22	スケルトン	0	1	王都アークレア	5	忘れられた墓地	雑魚	13	アンデッド型	闇	レアドロップ	スケルトンの骨剣	武器	武器系	通常撃破時	2	NO			STR+27	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
48	26	モンスターマスタ	22	MAT0026	スケルトン	0	1	王都アークレア	5	忘れられた墓地	雑魚	13	アンデッド型	闇	素材ドロップ	スケルトンの古骨	素材	素材系	通常撃破時	35	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0026	通常素材	N	45	YES	魔法武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
49	27	モンスターマスタ	23	23	墓守の亡霊	0	1	王都アークレア	5	忘れられた墓地	やや強い	14	アンデッド型	闇	レアドロップ	墓守の亡霊の印	印	印系	通常撃破時	1	NO			STR+6、SPR+3	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
50	27	モンスターマスタ	23	MAT0027	墓守の亡霊	0	1	王都アークレア	5	忘れられた墓地	やや強い	14	アンデッド型	闇	素材ドロップ	墓守の亡霊の腐布	素材	素材系	通常撃破時	28	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0027	通常素材	N+	65	YES	魔法武器・装飾品	中級量産素材	5〜20個程度。中級武器の補助素材
51	28	モンスターマスタ	24	24	呪いガラス	0	1	王都アークレア	5	忘れられた墓地	レア敵	14	アンデッド型	闇	レアドロップ	呪いガラスの印	印	印系	通常撃破時	0.8	NO			STR+7、SPR+3	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
52	28	モンスターマスタ	24	MAT0028	呪いガラス	0	1	王都アークレア	5	忘れられた墓地	レア敵	14	アンデッド型	闇	素材ドロップ	呪いガラスの黒結晶	素材	素材系	通常撃破時	8	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0028	レア素材	R	110	YES	魔法武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
53	29	モンスターマスタ	25	25	墓地の騎士	0	1	王都アークレア	5	忘れられた墓地	最深部候補	15	物理型	闇	レアドロップ	墓地の騎士の印	印	印系	通常撃破時	0.6	NO			HP+35、STR+7	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
54	29	モンスターマスタ	25	MAT0029	墓地の騎士	0	1	王都アークレア	5	忘れられた墓地	最深部候補	15	物理型	闇	素材ドロップ	墓地の騎士の徽章	素材	素材系	通常撃破時	12	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0029	準レア素材	R	125	YES	武器	希少量産素材	3〜10個程度。高級武器の中核素材
55	30	ボスマスタ	355	MAT0030	墓守リッチ	1	1	王都アークレア	5	忘れられた墓地	ボス	15	状態異常型	闇	素材初回報酬	墓守リッチの刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0030	討伐証素材	R	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
