装備種別	branch_key	系統	進化段階	素材コード	素材名	必要数	主地域	補助地域	推奨ドロップ方式	解放条件	設計意図
装飾品	power_accessory	腕力系	A→S	MAT_BR_ACC_POWER_PATH	腕力の導石	3	鉄鋼都市グランベルグ	主地域の輝く宝箱 / ダンジョン主低確率	グランベルグ以降の終盤敵から1% / 序盤都市では通常ドロップなし	鉄鋼都市グランベルグ到達。Aランク装備未所持でも先行入手可	分岐入口。序盤から『この系統に進む』選択を感じさせる。
装飾品	power_accessory	腕力系	S→SS	MAT_BR_ACC_POWER_ANCIENT	腕力の古代片	5		幻影の城中層 / 系統別試練	高位地域レア敵1% / 最深部候補3% / 古代宝箱10%	Sランク装備所持、または高位地域到達	SS化素材。序盤都市だけでS→SSまで進めないよう、主地域が序盤の場合は高位地域へ逃がす。
装飾品	power_accessory	腕力系	SS→SSS	MAT_BR_ACC_POWER_SECRET	腕力の秘境晶	5		幻影の城深層 / 期間イベント秘境	秘境採取50% / 秘境宝箱30% / 秘境主100% / 秘境主追加30%	SSランク装備所持、該当秘境または高位地域解放	SSS化素材。通常探索には落とさず、秘境コンテンツの主報酬にする。
装飾品	power_accessory	腕力系	SSS→EPIC	MAT_BR_ACC_POWER_CREST	腕力の極印	1		幻影の城最深層 / 極印交換所	極印試練15% / 秘境主5% / 幻影最深層3% / 5回クリアで交換保証	SSSランク装備所持、系統別極印試練解放	最終進化の門番。完全ランダムにせず、試練クリア回数による天井を置く。
装飾品	guard_accessory	守護系	A→S	MAT_BR_ACC_GUARD_PATH	守護の導石	3	王都アークレア	主地域の輝く宝箱 / ダンジョン主低確率	グランベルグ以降の終盤敵から1% / 序盤都市では通常ドロップなし	王都アークレア到達。Aランク装備未所持でも先行入手可	分岐入口。序盤から『この系統に進む』選択を感じさせる。
装飾品	guard_accessory	守護系	S→SS	MAT_BR_ACC_GUARD_ANCIENT	守護の古代片	5	天空都市セレスティア	幻影の城中層 / 系統別試練	高位地域レア敵1% / 最深部候補3% / 古代宝箱10%	Sランク装備所持、または高位地域到達	SS化素材。序盤都市だけでS→SSまで進めないよう、主地域が序盤の場合は高位地域へ逃がす。
装飾品	guard_accessory	守護系	SS→SSS	MAT_BR_ACC_GUARD_SECRET	守護の秘境晶	5	天空都市セレスティア	幻影の城深層 / 期間イベント秘境	秘境採取50% / 秘境宝箱30% / 秘境主100% / 秘境主追加30%	SSランク装備所持、該当秘境または高位地域解放	SSS化素材。通常探索には落とさず、秘境コンテンツの主報酬にする。
装飾品	guard_accessory	守護系	SSS→EPIC	MAT_BR_ACC_GUARD_CREST	守護の極印	1	天空都市セレスティア	幻影の城最深層 / 極印交換所	極印試練15% / 秘境主5% / 幻影最深層3% / 5回クリアで交換保証	SSSランク装備所持、系統別極印試練解放	最終進化の門番。完全ランダムにせず、試練クリア回数による天井を置く。
装飾品	magic_accessory	魔力系	A→S	MAT_BR_ACC_MAGIC_PATH	魔力の導石	3	魔導都市ルミナス	主地域の輝く宝箱 / ダンジョン主低確率	グランベルグ以降の終盤敵から1% / 序盤都市では通常ドロップなし	魔導都市ルミナス到達。Aランク装備未所持でも先行入手可	分岐入口。序盤から『この系統に進む』選択を感じさせる。
装飾品	magic_accessory	魔力系	S→SS	MAT_BR_ACC_MAGIC_ANCIENT	魔力の古代片	5	魔導都市ルミナス	幻影の城中層 / 系統別試練	高位地域レア敵1% / 最深部候補3% / 古代宝箱10%	Sランク装備所持、または高位地域到達	SS化素材。序盤都市だけでS→SSまで進めないよう、主地域が序盤の場合は高位地域へ逃がす。
装飾品	magic_accessory	魔力系	SS→SSS	MAT_BR_ACC_MAGIC_SECRET	魔力の秘境晶	5		幻影の城深層 / 期間イベント秘境	秘境採取50% / 秘境宝箱30% / 秘境主100% / 秘境主追加30%	SSランク装備所持、該当秘境または高位地域解放	SSS化素材。通常探索には落とさず、秘境コンテンツの主報酬にする。
装飾品	magic_accessory	魔力系	SSS→EPIC	MAT_BR_ACC_MAGIC_CREST	魔力の極印	1		幻影の城最深層 / 極印交換所	極印試練15% / 秘境主5% / 幻影最深層3% / 5回クリアで交換保証	SSSランク装備所持、系統別極印試練解放	最終進化の門番。完全ランダムにせず、試練クリア回数による天井を置く。
装飾品	prayer_accessory	祈祷系	A→S	MAT_BR_ACC_PRAYER_PATH	祈祷の導石	3	王都アークレア	主地域の輝く宝箱 / ダンジョン主低確率	グランベルグ以降の終盤敵から1% / 序盤都市では通常ドロップなし	王都アークレア到達。Aランク装備未所持でも先行入手可	分岐入口。序盤から『この系統に進む』選択を感じさせる。
装飾品	prayer_accessory	祈祷系	S→SS	MAT_BR_ACC_PRAYER_ANCIENT	祈祷の古代片	5	天空都市セレスティア	幻影の城中層 / 系統別試練	高位地域レア敵1% / 最深部候補3% / 古代宝箱10%	Sランク装備所持、または高位地域到達	SS化素材。序盤都市だけでS→SSまで進めないよう、主地域が序盤の場合は高位地域へ逃がす。
装飾品	prayer_accessory	祈祷系	SS→SSS	MAT_BR_ACC_PRAYER_SECRET	祈祷の秘境晶	5	天空都市セレスティア	幻影の城深層 / 期間イベント秘境	秘境採取50% / 秘境宝箱30% / 秘境主100% / 秘境主追加30%	SSランク装備所持、該当秘境または高位地域解放	SSS化素材。通常探索には落とさず、秘境コンテンツの主報酬にする。
装飾品	prayer_accessory	祈祷系	SSS→EPIC	MAT_BR_ACC_PRAYER_CREST	祈祷の極印	1	天空都市セレスティア	幻影の城最深層 / 極印交換所	極印試練15% / 秘境主5% / 幻影最深層3% / 5回クリアで交換保証	SSSランク装備所持、系統別極印試練解放	最終進化の門番。完全ランダムにせず、試練クリア回数による天井を置く。
装飾品	wind_accessory	疾風系	A→S	MAT_BR_ACC_WIND_PATH	疾風の導石	3	精霊都市エルフィア	主地域の輝く宝箱 / ダンジョン主低確率	グランベルグ以降の終盤敵から1% / 序盤都市では通常ドロップなし	精霊都市エルフィア到達。Aランク装備未所持でも先行入手可	分岐入口。序盤から『この系統に進む』選択を感じさせる。
装飾品	wind_accessory	疾風系	S→SS	MAT_BR_ACC_WIND_ANCIENT	疾風の古代片	5	天空都市セレスティア	幻影の城中層 / 系統別試練	高位地域レア敵1% / 最深部候補3% / 古代宝箱10%	Sランク装備所持、または高位地域到達	SS化素材。序盤都市だけでS→SSまで進めないよう、主地域が序盤の場合は高位地域へ逃がす。
装飾品	wind_accessory	疾風系	SS→SSS	MAT_BR_ACC_WIND_SECRET	疾風の秘境晶	5	天空都市セレスティア	幻影の城深層 / 期間イベント秘境	秘境採取50% / 秘境宝箱30% / 秘境主100% / 秘境主追加30%	SSランク装備所持、該当秘境または高位地域解放	SSS化素材。通常探索には落とさず、秘境コンテンツの主報酬にする。
装飾品	wind_accessory	疾風系	SSS→EPIC	MAT_BR_ACC_WIND_CREST	疾風の極印	1	天空都市セレスティア	幻影の城最深層 / 極印交換所	極印試練15% / 秘境主5% / 幻影最深層3% / 5回クリアで交換保証	SSSランク装備所持、系統別極印試練解放	最終進化の門番。完全ランダムにせず、試練クリア回数による天井を置く。
装飾品	luck_accessory	幸運系	A→S	MAT_BR_ACC_LUCK_PATH	幸運の導石	3	港町マリネス	主地域の輝く宝箱 / ダンジョン主低確率	グランベルグ以降の終盤敵から1% / 序盤都市では通常ドロップなし	港町マリネス到達。Aランク装備未所持でも先行入手可	分岐入口。序盤から『この系統に進む』選択を感じさせる。
装飾品	luck_accessory	幸運系	S→SS	MAT_BR_ACC_LUCK_ANCIENT	幸運の古代片	5	砂都サンドラ	幻影の城中層 / 系統別試練	高位地域レア敵1% / 最深部候補3% / 古代宝箱10%	Sランク装備所持、または高位地域到達	SS化素材。序盤都市だけでS→SSまで進めないよう、主地域が序盤の場合は高位地域へ逃がす。
装飾品	luck_accessory	幸運系	SS→SSS	MAT_BR_ACC_LUCK_SECRET	幸運の秘境晶	5	砂都サンドラ	幻影の城深層 / 期間イベント秘境	秘境採取50% / 秘境宝箱30% / 秘境主100% / 秘境主追加30%	SSランク装備所持、該当秘境または高位地域解放	SSS化素材。通常探索には落とさず、秘境コンテンツの主報酬にする。
装飾品	luck_accessory	幸運系	SSS→EPIC	MAT_BR_ACC_LUCK_CREST	幸運の極印	1	砂都サンドラ	幻影の城最深層 / 極印交換所	極印試練15% / 秘境主5% / 幻影最深層3% / 5回クリアで交換保証	SSSランク装備所持、系統別極印試練解放	最終進化の門番。完全ランダムにせず、試練クリア回数による天井を置く。
装飾品	balance_accessory	均衡系	A→S	MAT_BR_ACC_BALANCE_PATH	均衡の導石	3	魔導都市ルミナス	主地域の輝く宝箱 / ダンジョン主低確率	グランベルグ以降の終盤敵から1% / 序盤都市では通常ドロップなし	魔導都市ルミナス到達。Aランク装備未所持でも先行入手可	分岐入口。序盤から『この系統に進む』選択を感じさせる。
装飾品	balance_accessory	均衡系	S→SS	MAT_BR_ACC_BALANCE_ANCIENT	均衡の古代片	5	魔導都市ルミナス	幻影の城中層 / 系統別試練	高位地域レア敵1% / 最深部候補3% / 古代宝箱10%	Sランク装備所持、または高位地域到達	SS化素材。序盤都市だけでS→SSまで進めないよう、主地域が序盤の場合は高位地域へ逃がす。
装飾品	balance_accessory	均衡系	SS→SSS	MAT_BR_ACC_BALANCE_SECRET	均衡の秘境晶	5		幻影の城深層 / 期間イベント秘境	秘境採取50% / 秘境宝箱30% / 秘境主100% / 秘境主追加30%	SSランク装備所持、該当秘境または高位地域解放	SSS化素材。通常探索には落とさず、秘境コンテンツの主報酬にする。
装飾品	balance_accessory	均衡系	SSS→EPIC	MAT_BR_ACC_BALANCE_CREST	均衡の極印	1		幻影の城最深層 / 極印交換所	極印試練15% / 秘境主5% / 幻影最深層3% / 5回クリアで交換保証	SSSランク装備所持、系統別極印試練解放	最終進化の門番。完全ランダムにせず、試練クリア回数による天井を置く。

